bioclimatic_zone,structure,category,physiography_limit,code,color_class,color,broad_class,map_class,target,macrogroup_code,macrogroup,group_code,group
1. Temperate,dwarf shrub,mesic vegetation,riverine,86,Floodplain,E1D6F3,Dryas Floodplain,Alaska Pacific Dryas Dwarf Shrub Active Floodplain,alliance,M558,"Alaska Pacific Marsh, Wet Meadow & Shrub Wetland",G1210,Alaska Pacific Shrub & Graminoid Floodplain
4. Arctic,dwarf shrub,mesic vegetation,riverine,313,Floodplain,E1D6F3,Dryas Floodplain,Arctic Dryas (-Willow-Ericaceous) Active Floodplain,subgroup,M870,Arctic Freshwater Marsh and Riverine Herbaceous & Shrubland,G1204,Arctic Shrub & Graminoid Floodplain
1. Temperate,herbaceous,mesic vegetation,riverine,87,Floodplain,FFFF00,Herbaceous Floodplain,Alaska Pacific Forb-Graminoid Active Floodplain,alliance,M558,"Alaska Pacific Marsh, Wet Meadow & Shrub Wetland",G1210,Alaska Pacific Shrub & Graminoid Floodplain
2. Northern Subpolar Oceanic,herbaceous,mesic vegetation,riverine,105,Floodplain,FFFF00,Herbaceous Floodplain,Aleutian-Kamchatka Forb-Graminoid Active Floodplain,subgroup,M558,"Alaska Pacific Marsh, Wet Meadow & Shrub Wetland",G1207,Aleutian-Kamchatka Shrub & Graminoid Floodplain
3. Boreal,herbaceous,mesic vegetation,riverine,223,Floodplain,FFFF00,Herbaceous Floodplain,Alaska-Yukon Herbaceous Active Floodplain,,M894,"North American Boreal Marsh, Wet Meadow & Shrubland",G1194,Western Boreal Shrub & Graminoid Floodplain
4. Arctic,herbaceous,mesic vegetation,riverine,314,Floodplain,FFFF00,Herbaceous Floodplain,Arctic Herbaceous Active Floodplain,subgroup,M870,Arctic Freshwater Marsh and Riverine Herbaceous & Shrubland,G1204,Arctic Shrub & Graminoid Floodplain
1. Temperate,deciduous tree,wet vegetation,riverine,22,Floodplain,B87788,Poplar Floodplain,Alaska Pacific Cottonwood Riparian Forest,alliance,M035,North Pacific Forested Wetland,G852,Alaska Pacific Riparian Forest
3. Boreal,deciduous tree,mesic vegetation,riverine,214,Floodplain,B87788,Poplar Floodplain,Poplar (-White Spruce) Active Floodplain,,M300,North American Boreal Flooded & Rich Swamp Forest,G548,Alaska-Yukon Boreal Floodplain Forest
1. Temperate,deciduous tree,wet vegetation,riverine,23,Floodplain,000000,Red Alder Floodplain,Alaska Pacific Red Alder Riparian Forest,alliance,M035,North Pacific Forested Wetland,G852,Alaska Pacific Riparian Forest
1. Temperate,mixed tree,wet vegetation,riverine,21,Floodplain,6A1837,Spruce Floodplain,Alaska Pacific Cottonwood-Sitka Spruce / Western Hemlock Riparian Forest,alliance,M035,North Pacific Forested Wetland,G852,Alaska Pacific Riparian Forest
1. Temperate,coniferous tree,wet vegetation,riverine,24,Floodplain,6A1837,Spruce Floodplain,Alaska Pacific Sitka Spruce Riparian Forest,alliance,M035,North Pacific Forested Wetland,G852,Alaska Pacific Riparian Forest
3. Boreal,coniferous tree,mesic vegetation,riverine,212,Floodplain,6A1837,Spruce Floodplain,Alaska-Yukon White Spruce Active Floodplain,,M300,North American Boreal Flooded & Rich Swamp Forest,G548,Alaska-Yukon Boreal Floodplain Forest
1. Temperate,shrub,mesic vegetation,riverine,88,Floodplain,C5BCD5,Willow Floodplain,Alaska Pacific Willow Active Floodplain,subgroup,M558,"Alaska Pacific Marsh, Wet Meadow & Shrub Wetland",G1210,Alaska Pacific Shrub & Graminoid Floodplain
2. Northern Subpolar Oceanic,shrub,mesic vegetation,riverine,106,Floodplain,C5BCD5,Willow Floodplain,Aleutian-Kamchatka Willow Active Floodplain,subgroup,M558,"Alaska Pacific Marsh, Wet Meadow & Shrub Wetland",G1207,Aleutian-Kamchatka Shrub & Graminoid Floodplain
3. Boreal,shrub,mesic vegetation,riverine,222,Floodplain,C5BCD5,Willow Floodplain,Alaska-Yukon Willow Active Floodplain,,M894,"North American Boreal Marsh, Wet Meadow & Shrubland",G1194,Western Boreal Shrub & Graminoid Floodplain
4. Arctic,shrub,mesic vegetation,riverine,312,Floodplain,C5BCD5,Willow Floodplain,Arctic Willow Active Floodplain,subgroup,M870,Arctic Freshwater Marsh and Riverine Herbaceous & Shrubland,G1204,Arctic Shrub & Graminoid Floodplain
1. Temperate,herbaceous,freshwater marsh,none,75,Herbaceous,8400A8,Freshwater Marsh,Alaska Pacific Freshwater Marsh,subgroup,M558,"Alaska Pacific Marsh, Wet Meadow & Shrub Wetland",G1208,Alaska Pacific Marsh & Wet Meadow
3. Boreal,herbaceous,freshwater marsh,none,228,Herbaceous,8400A8,Freshwater Marsh,Alaska-Yukon Freshwater Marsh,,M894,"North American Boreal Marsh, Wet Meadow & Shrubland",G528,Western Boreal Wet Meadow & Marsh
4. Arctic,herbaceous,freshwater marsh,none,322,Herbaceous,8400A8,Freshwater Marsh,Arctic Freshwater Marsh,group,M870,Arctic Freshwater Marsh and Riverine Herbaceous & Shrubland,G370,Arctic Freshwater Marsh
1. Temperate,herbaceous,mesic vegetation,alpine,52,Herbaceous,DDFF00,Herbaceous Mesic,Alaska Pacific Alpine Mesic Meadow,group,M101,North Pacific Coastal Alpine Tundra,G1191,Alaska Pacific Alpine Mesic Meadow
1. Temperate,herbaceous,mesic vegetation,none,71,Herbaceous,DDFF00,Herbaceous Mesic,Alaska Pacific Calamagrostis - Forb Herbaceous Mesic,subgroup,M172,North Pacific Coastal Lowland-Montane Grassland & Shrubland,G355,Alaska Pacific Grassland & Meadow
1. Temperate,herbaceous,mesic vegetation,none,72,Herbaceous,DDFF00,Herbaceous Mesic,Alaska Pacific Forb (-Fern) Herbaceous Mesic,subgroup,M172,North Pacific Coastal Lowland-Montane Grassland & Shrubland,G355,Alaska Pacific Grassland & Meadow
2. Northern Subpolar Oceanic,herbaceous,mesic vegetation,none,103,Herbaceous,DDFF00,Herbaceous Mesic,Aleutian-Kamchatka Graminoid - Forb Mesic,group,M539,"Aleutian-Kamchatka Maritime Heath, Shrub & Meadow",G861,Aleutian-Kamchatka Mesic Forb Meadow
3. Boreal,herbaceous,mesic vegetation,alpine,175,Herbaceous,DDFF00,Herbaceous Mesic,Alaska-Yukon Alpine Meadow Mesic,group,M404,Western Boreal Alpine Tundra,G747,Western Boreal Alpine Acidic Mesic Meadow
3. Boreal,herbaceous,mesic vegetation,none,191,Herbaceous,DDFF00,Herbaceous Mesic,Alaska-Yukon Calamagrostis-Forb Meadow Mesic,,M537,North American Boreal Shrubland & Grassland,G358,Western Boreal Mesic Grassland & Meadow
3. Boreal,herbaceous,mesic vegetation,none,192,Herbaceous,DDFF00,Herbaceous Mesic,Alaska-Yukon Forb-Graminoid Meadow Mesic Acidic,,M537,North American Boreal Shrubland & Grassland,G358,Western Boreal Mesic Grassland & Meadow
3. Boreal,herbaceous,mesic vegetation,none,193,Herbaceous,DDFF00,Herbaceous Mesic,Alaska-Yukon Forb-Graminoid Meadow Mesic Alkaline,,M537,North American Boreal Shrubland & Grassland,G358,Western Boreal Mesic Grassland & Meadow
4. Arctic,herbaceous,mesic vegetation,none,276,Herbaceous,DDFF00,Herbaceous Mesic,Arctic Herbaceous Non-Tussock Tundra,group,M173,Arctic Dry-Moist Tundra,G1199,Arctic Nontussock Tundra
1. Temperate,herbaceous,wet vegetation,none,74,Herbaceous,00FFFF,Herbaceous Wet,Alaska Pacific Forb-Graminoid Wet Meadow (Mineral/Riverine),subgroup,M558,"Alaska Pacific Marsh, Wet Meadow & Shrub Wetland",G1208,Alaska Pacific Marsh & Wet Meadow
1. Temperate,herbaceous,wet vegetation,none,76,Herbaceous,00FFFF,Herbaceous Wet,Alaska Pacific Sedge Wet Meadow (Mineral/Riverine),subgroup,M558,"Alaska Pacific Marsh, Wet Meadow & Shrub Wetland",G1208,Alaska Pacific Marsh & Wet Meadow
1. Temperate,herbaceous,wet vegetation,none,73,Herbaceous,00FFFF,Herbaceous Wet,Alaska Pacific Sedge-Calamagrostis Wet Meadow (Mineral/Riverine),subgroup,M558,"Alaska Pacific Marsh, Wet Meadow & Shrub Wetland",G1208,Alaska Pacific Marsh & Wet Meadow
3. Boreal,herbaceous,wet vegetation,riverine,227,Herbaceous,00FFFF,Herbaceous Wet,Alaska-Yukon Forb-Graminoid Meadow Wet (Mineral/Riverine),,M894,"North American Boreal Marsh, Wet Meadow & Shrubland",G528,Western Boreal Wet Meadow & Marsh
3. Boreal,herbaceous,wet vegetation,riverine,225,Herbaceous,00FFFF,Herbaceous Wet,Alaska-Yukon Sedge Wet Meadow (Mineral/Riverine),,M894,"North American Boreal Marsh, Wet Meadow & Shrubland",G528,Western Boreal Wet Meadow & Marsh
3. Boreal,herbaceous,wet vegetation,riverine,226,Herbaceous,00FFFF,Herbaceous Wet,Alaska-Yukon Sedge-Calamagrostis Wet Meadow (Mineral/Riverine),,M894,"North American Boreal Marsh, Wet Meadow & Shrubland",G528,Western Boreal Wet Meadow & Marsh
4. Arctic,herbaceous,wet vegetation,riverine,321,Herbaceous,00FFFF,Herbaceous Wet,Arctic Wet Meadow (Mineral/Riverine),group,M870,Arctic Freshwater Marsh and Riverine Herbaceous & Shrubland,G617,Arctic Wet Meadow
4. Arctic,various,complex,none,252,Herbaceous,00391F,Non-tussock Polygonal Complex,Arctic Non-Tussock Polygonal Complex,complex,complex,complex,complex,complex
3. Boreal,dwarf shrub,mesic vegetation,none,173,Lichen,E1E1E1,Lichen,Alaska-Yukon Dwarf Shrub-Lichen,,M404,Western Boreal Alpine Tundra,G613,Western Boreal Alpine Dwarf-shrubland
4. Arctic,shrub,mesic vegetation,none,294,Lichen,E1E1E1,Lichen,Arctic Ericaceous (-Birch) Lichen Tundra,none,M173,Arctic Dry-Moist Tundra,,
3. Boreal,coniferous tree,mesic vegetation,none,112,Needleleaf,438C00,Black Spruce Mesic,Alaska-Yukon Black Spruce Forest Mesic (Central),,M156,Alaska-Yukon North American Boreal Forest,G579,Central Alaska-Yukon Boreal Mesic Forest
3. Boreal,coniferous tree,mesic vegetation,none,132,Needleleaf,438C00,Black Spruce Mesic,Alaska-Yukon Black Spruce Forest Mesic (Southern),,M156,Alaska-Yukon North American Boreal Forest,G627,Southern Alaskan Boreal Mesic Forest
3. Boreal,coniferous tree,mesic vegetation,none,151,Needleleaf,438C00,Black Spruce Mesic,Alaska-Yukon Black Spruce Woodland Mesic,,M179,North American Northern Boreal Woodland,G1195,Alaska-Yukon Northern & Montane Boreal Mesic Woodland
3. Boreal,coniferous tree,mesic vegetation,none,114,Needleleaf,438C00,Black Spruce Mesic,Alaska-Yukon Mixed Spruce Forest Mesic (Central),,M156,Alaska-Yukon North American Boreal Forest,G579,Central Alaska-Yukon Boreal Mesic Forest
3. Boreal,coniferous tree,mesic vegetation,none,134,Needleleaf,438C00,Black Spruce Mesic,Alaska-Yukon Mixed Spruce Forest Mesic (Southern),,M156,Alaska-Yukon North American Boreal Forest,G627,Southern Alaskan Boreal Mesic Forest
3. Boreal,coniferous tree,mesic vegetation,none,152,Needleleaf,438C00,Black Spruce Mesic,Alaska-Yukon Mixed Spruce Woodland Mesic,,M179,North American Northern Boreal Woodland,G1195,Alaska-Yukon Northern & Montane Boreal Mesic Woodland
3. Boreal,coniferous tree,wet vegetation,none,211,Needleleaf,61CA00,Black Spruce Wet,Alaska-Yukon Black Spruce Forest Wet,group,M299,North American Boreal Conifer Poor Swamp,G546,Alaska-Yukon Boreal Black Spruce Wet Forest
3. Boreal,mixed tree,mesic vegetation,none,113,Needleleaf,47FF00,Black Spruce-Deciduous,Alaska-Yukon Black Spruce-Deciduous Forest Mesic (Central),,M156,Alaska-Yukon North American Boreal Forest,G579,Central Alaska-Yukon Boreal Mesic Forest
3. Boreal,mixed tree,mesic vegetation,none,133,Needleleaf,47FF00,Black Spruce-Deciduous,Alaska-Yukon Black Spruce-Deciduous Forest Mesic (Southern),,M156,Alaska-Yukon North American Boreal Forest,G627,Southern Alaskan Boreal Mesic Forest
3. Boreal,mixed tree,mesic vegetation,none,115,Needleleaf,47FF00,Black Spruce-Deciduous,Alaska-Yukon Mixed Spruce-Deciduous Forest Mesic (Central),,M156,Alaska-Yukon North American Boreal Forest,G579,Central Alaska-Yukon Boreal Mesic Forest
3. Boreal,mixed tree,mesic vegetation,none,135,Needleleaf,47FF00,Black Spruce-Deciduous,Alaska-Yukon Mixed Spruce-Deciduous Forest Mesic (Southern),,M156,Alaska-Yukon North American Boreal Forest,G627,Southern Alaskan Boreal Mesic Forest
1. Temperate,coniferous tree,mesic vegetation,none,1,Needleleaf,68A08F,Fir Forest,Alaska Pacific Silver Fir (-Western Hemlock) Forest Mesic,group,M024,North Pacific Coastal Rainforest,G241,Coastal Silver Fir - Western Hemlock Rainforest
1. Temperate,coniferous tree,mesic vegetation,none,15,Needleleaf,68A08F,Fir Forest,Alaska Pacific Subalpine Fir (-Mountain Hemlock) Forest Mesic,alliance,M025,Vancouverian Subalpine-High Montane Forest,G850,Alaskan Mountain Hemlock Forest
1. Temperate,coniferous tree,mesic vegetation,none,12,Needleleaf,00391F,Mountain Hemlock Mesic,Alaska Pacific Mountain Hemlock Forest Mesic,alliance,M025,Vancouverian Subalpine-High Montane Forest,G850,Alaskan Mountain Hemlock Forest
1. Temperate,coniferous tree,mesic vegetation,none,11,Needleleaf,00391F,Mountain Hemlock Mesic,Alaska Pacific Mountain Hemlock-Sitka/Lutz Spruce Forest Mesic,alliance,M025,Vancouverian Subalpine-High Montane Forest,G850,Alaskan Mountain Hemlock Forest
1. Temperate,coniferous tree,mesic vegetation,subalpine,13,Needleleaf,81C6B1,Pacific Subalpine Woodland,Alaska Pacific Mountain Hemlock Subalpine Woodland Mesic,alliance,M025,Vancouverian Subalpine-High Montane Forest,G850,Alaskan Mountain Hemlock Forest
1. Temperate,coniferous tree,mesic vegetation,subalpine,14,Needleleaf,81C6B1,Pacific Subalpine Woodland,Alaska Pacific Sitka Spruce Subalpine Woodland Mesic,alliance,M025,Vancouverian Subalpine-High Montane Forest,G850,Alaskan Mountain Hemlock Forest
1. Temperate,coniferous tree,mesic vegetation,subalpine,16,Needleleaf,81C6B1,Pacific Subalpine Woodland,Alaska Pacific Subalpine Fir Subalpine Woodland Mesic,alliance,M025,Vancouverian Subalpine-High Montane Forest,G850,Alaskan Mountain Hemlock Forest
1. Temperate,coniferous tree,mesic vegetation,none,4,Needleleaf,005C32,Sitka Spruce Mesic,Alaska Pacific Sitka Spruce Forest Mesic,subgroup,M024,North Pacific Coastal Rainforest,G750,Coastal Alaskan Western Hemlock - Sitka Spruce Rainforest
1. Temperate,coniferous tree,mesic vegetation,none,8,Needleleaf,005C32,Sitka Spruce Mesic,North Pacific Sitka Spruce Forest Mesic,subgroup,M024,North Pacific Coastal Rainforest,G751,Coastal Western Hemlock - Sitka Spruce Rainforest
1. Temperate,coniferous tree,wet vegetation,none,31,Needleleaf,00E37C,Sitka Spruce Wet,Alaska Pacific Sitka Spruce - Mountain Hemlock Forest Wet,alliance,M035,North Pacific Forested Wetland,G854,Alaska Pacific Swamp
1. Temperate,coniferous tree,wet vegetation,none,32,Needleleaf,00E37C,Sitka Spruce Wet,Alaska Pacific Sitka Spruce Forest Wet,alliance,M035,North Pacific Forested Wetland,G854,Alaska Pacific Swamp
3. Boreal,coniferous tree,mesic vegetation,none,154,Needleleaf,A1C6BB,Spruce-Lichen,Alaska-Yukon Spruce-Lichen Woodland Mesic,,M179,North American Northern Boreal Woodland,G1195,Alaska-Yukon Northern & Montane Boreal Mesic Woodland
1. Temperate,coniferous tree,mesic vegetation,none,5,Needleleaf,2E5C55,Western Hemlock Mesic,Alaska Pacific Western Hemlock (-Sitka Spruce) Forest Mesic,subgroup,M024,North Pacific Coastal Rainforest,G750,Coastal Alaskan Western Hemlock - Sitka Spruce Rainforest
1. Temperate,coniferous tree,mesic vegetation,none,6,Needleleaf,2E5C55,Western Hemlock Mesic,Alaska Pacific Western Redcedar (-Western Hemlock) Forest Mesic,subgroup,M024,North Pacific Coastal Rainforest,G750,Coastal Alaskan Western Hemlock - Sitka Spruce Rainforest
1. Temperate,coniferous tree,mesic vegetation,none,9,Needleleaf,2E5C55,Western Hemlock Mesic,North Pacific Western Hemlock (-Sitka Spruce) Forest Mesic,subgroup,M024,North Pacific Coastal Rainforest,G751,Coastal Western Hemlock - Sitka Spruce Rainforest
1. Temperate,coniferous tree,mesic vegetation,none,10,Needleleaf,2E5C55,Western Hemlock Mesic,North Pacific Western Redcedar (-Western Hemlock) Forest Mesic,subgroup,M024,North Pacific Coastal Rainforest,G751,Coastal Western Hemlock - Sitka Spruce Rainforest
1. Temperate,coniferous tree,wet vegetation,none,33,Needleleaf,0D7464,Western Hemlock Wet,Alaska Pacific Western Hemlock (-Sitka Spruce) Forest Wet,,M035,North Pacific Forested Wetland,G854,Alaska Pacific Swamp
3. Boreal,coniferous tree,mesic vegetation,none,117,Needleleaf,005C32,White Spruce Mesic,Alaska-Yukon White Spruce Forest Mesic (Central),,M156,Alaska-Yukon North American Boreal Forest,G579,Central Alaska-Yukon Boreal Mesic Forest
