bioclimatic_zone,structure,category,physiography_limit,code,color_class,color,broad_class,map_class,target,macrogroup_code,macrogroup,group_code,group
3. Boreal,shrub,mesic vegetation,none,183,Shrub,98A100,Birch-Ericaceous Mesic,Alaska-Yukon Ericaceous (-Birch) Mesic,,M537,North American Boreal Shrubland & Grassland,G356,Western Boreal Mesic Birch - Willow Shrubland
1. Temperate,shrub,wet vegetation,none,82,Shrub,BBCC00,Birch-Ericaceous Wet,Alaska Pacific Ericaceous (-Birch) Shrub Wet,subgroup,M558,"Alaska Pacific Marsh, Wet Meadow & Shrub Wetland",G1209,Alaska Pacific Shrub Wetland
1. Temperate,shrub,mesic vegetation,none,65,Shrub,6400D2,Birch-Willow Mesic,Alaska Pacific Willow Mesic,subgroup,M172,North Pacific Coastal Lowland-Montane Grassland & Shrubland,G354,Alaska Pacific Alder - Salmonberry - Willow Shrubland
2. Northern Subpolar Oceanic,shrub,mesic vegetation,none,102,Shrub,6400D2,Birch-Willow Mesic,Aleutian-Kamchatka Willow Shrub Mesic,alliance,M539,"Aleutian-Kamchatka Maritime Heath, Shrub & Meadow",G860,Aleutian-Kamchatka Mesic Shrubland
3. Boreal,shrub,mesic vegetation,none,184,Shrub,6400D2,Birch-Willow Mesic,Alaska-Yukon Birch-Willow Mesic,,M537,North American Boreal Shrubland & Grassland,G356,Western Boreal Mesic Birch - Willow Shrubland
3. Boreal,shrub,mesic vegetation,none,186,Shrub,6400D2,Birch-Willow Mesic,Alaska-Yukon Willow Mesic,,M537,North American Boreal Shrubland & Grassland,G356,Western Boreal Mesic Birch - Willow Shrubland
4. Arctic,shrub,mesic vegetation,none,292,Shrub,6400D2,Birch-Willow Mesic,Arctic Birch (-Willow) Shrub Mesic,subgroup,M173,Arctic Dry-Moist Tundra,G897,Arctic Low Shrub Tundra
4. Arctic,shrub,mesic vegetation,none,293,Shrub,6400D2,Birch-Willow Mesic,Arctic Willow Low Shrub Mesic,subgroup,M173,Arctic Dry-Moist Tundra,G897,Arctic Low Shrub Tundra
1. Temperate,shrub,wet vegetation,none,83,Shrub,A500D5,Birch-Willow Wet,Alaska Pacific Willow Wet,subgroup,M558,"Alaska Pacific Marsh, Wet Meadow & Shrub Wetland",G1209,Alaska Pacific Shrub Wetland
3. Boreal,shrub,wet vegetation,none,241,Shrub,A500D5,Birch-Willow Wet,Alaska-Yukon Birch-Willow Wet,subgroup,M894,"North American Boreal Marsh, Wet Meadow & Shrubland",G865,Western Boreal Wet Birch - Willow Low Shrubland
